time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010447500000	19.9411	9.15623	4.41911	1.14492	0.364121	lidar	0.0154658	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	19.9512	9.4376	4.33196	1.19634	0.388385	radar	1.51448	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.0269	9.64137	4.33336	1.21614	0.388618	lidar	0.00987721	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	19.9777	10.1515	4.70321	1.30025	0.422695	radar	7.55268	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.0372	10.3786	4.7035	1.32142	0.422715	lidar	0.00274995	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.0149	10.6625	4.63744	1.37282	0.446043	radar	1.3964	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.0573	10.8897	4.6374	1.395	0.44597	lidar	0.0125803	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.0028	11.3285	4.91024	1.45694	0.464465	radar	3.71401	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.0286	11.5692	4.90744	1.47944	0.464045	lidar	0.0147536	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	19.8703	11.9439	4.8132	1.57229	0.518937	radar	5.96556	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	19.8694	12.1788	4.80795	1.59697	0.518219	lidar	0.0682651	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	19.9707	12.2954	4.87973	1.5661	0.468909	radar	4.02282	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	19.9694	12.5368	4.8776	1.58908	0.468648	lidar	0.0143985	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	19.9376	12.7374	4.67155	1.62709	0.48789	radar	1.82036	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	19.9232	12.9665	4.66767	1.65069	0.487457	lidar	0.0375216	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.0598	13.017	4.45071	1.6304	0.462919	radar	4.1135	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.0439	13.2371	4.44912	1.65327	0.462765	lidar	0.00305904	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.004	13.4776	4.50103	1.6792	0.462573	radar	0.196346	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	19.9766	13.7003	4.5008	1.70219	0.462496	lidar	0.0174519	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	19.9937	13.8417	4.33433	1.71697	0.463071	radar	0.947338	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	19.958	14.0567	4.33618	1.74033	0.463189	lidar	0.0117427	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	19.8778	14.2998	4.35989	1.77431	0.470469	radar	0.262474	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.8287	14.5146	4.36295	1.79827	0.470709	lidar	0.00774809	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.8579	14.602	4.22968	1.79891	0.455867	radar	1.15066	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.8058	14.809	4.23238	1.82199	0.456024	lidar	0.0226602	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.6962	15.0271	3.94759	1.88744	0.507977	radar	11.2922	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.6311	15.2144	3.94911	1.91294	0.508035	lidar	0.0216815	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.6231	15.3351	3.85951	1.92532	0.501133	radar	0.445858	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.5498	15.519	3.86552	1.95108	0.501527	lidar	0.0276596	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.4354	15.7573	3.98872	1.97815	0.497059	radar	0.63152	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.3507	15.9421	3.99336	2.00352	0.497348	lidar	0.0136495	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.2525	16.1438	3.98076	2.03808	0.509444	radar	0.894728	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	19.1559	16.3247	3.98796	2.06429	0.509844	lidar	0.0323162	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.8869	16.7032	4.15473	2.15046	0.569975	radar	11.9223	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.7661	16.8795	4.1619	2.17962	0.570322	lidar	0.0310717	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.7664	16.9936	4.08039	2.15956	0.520186	radar	3.4818	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.6446	17.1673	4.09003	2.18643	0.520599	lidar	0.0498219	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.5105	17.3602	4.15127	2.2046	0.507877	radar	0.678533	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.3808	17.5302	4.15894	2.23052	0.508111	lidar	0.0331992	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	18.2189	17.6675	4.1144	2.28032	0.536823	radar	1.73507	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	18.0788	17.8252	4.12084	2.30755	0.53699	lidar	0.0208951	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	18.0588	17.958	4.0297	2.3114	0.523737	radar	6.25326	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.9132	18.112	4.04238	2.33829	0.524011	lidar	0.0709204	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.7516	18.2334	4.0312	2.37973	0.541959	radar	0.76201	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	17.5973	18.3764	4.0419	2.40732	0.54213	lidar	0.0492539	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	17.3243	18.6979	4.31454	2.43338	0.537667	radar	5.19162	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	17.1527	18.8408	4.32377	2.46066	0.537794	lidar	0.0427339	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	16.7846	19.1864	4.69139	2.50136	0.549025	radar	4.95928	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	16.5899	19.3278	4.69889	2.52903	0.549062	lidar	0.0237015	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	16.433	19.2887	4.5458	2.58455	0.578485	radar	9.06079	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
